time_utc,sat,signal_code,station,CN0_dBHz
2025-01-01 00:00:00.000,E04,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,42.25
2025-01-01 00:00:00.000,E05,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,37.66
2025-01-01 00:00:00.000,E06,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,45.31
2025-01-01 00:00:00.000,E09,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,45.66
2025-01-01 00:00:00.000,E10,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,41.66
2025-01-01 00:00:00.000,E12,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,42.31
2025-01-01 00:00:00.000,E14,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,36.97
2025-01-01 00:00:00.000,E23,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,39.47
2025-01-01 00:00:00.000,E24,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,39.66
2025-01-01 00:00:00.000,E26,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,31.88
2025-01-01 00:00:00.000,G04,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,43.41
2025-01-01 00:00:00.000,G08,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,46.72
2025-01-01 00:00:00.000,G09,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,35.03
2025-01-01 00:00:00.000,G16,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,45.44
2025-01-01 00:00:00.000,G18,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,35.09
2025-01-01 00:00:00.000,G21,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,36.69
2025-01-01 00:00:00.000,G26,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,46.25
2025-01-01 00:00:00.000,G27,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,50.31
2025-01-01 00:00:00.000,G28,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,43.28
2025-01-01 00:00:00.000,G31,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,48.91
2025-01-01 00:00:00.000,J03,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,34.69
2025-01-01 00:00:00.000,R05,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,38.16
2025-01-01 00:00:00.000,R06,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,28.75
2025-01-01 00:00:00.000,R14,S1C,ABPO00MDG_R_20250010000_01D_30S_MO,33.16
