time_utc,sat,signal_code,station,CN0_dBHz
2025-01-01 00:00:00.000,G04,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,32.31
2025-01-01 00:00:00.000,G08,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,48.06
2025-01-01 00:00:00.000,G09,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,28.69
2025-01-01 00:00:00.000,G16,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,34.97
2025-01-01 00:00:00.000,G18,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,18.22
2025-01-01 00:00:00.000,G21,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,20.25
2025-01-01 00:00:00.000,G26,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,46.81
2025-01-01 00:00:00.000,G27,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,55.78
2025-01-01 00:00:00.000,G28,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,30.56
2025-01-01 00:00:00.000,G31,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,51.62
2025-01-01 00:00:30.000,G04,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,32.31
2025-01-01 00:00:30.000,G08,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,48.00
2025-01-01 00:00:30.000,G09,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,27.88
2025-01-01 00:00:30.000,G16,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,35.38
2025-01-01 00:00:30.000,G18,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,17.69
2025-01-01 00:00:30.000,G21,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,20.59
2025-01-01 00:00:30.000,G26,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,46.50
2025-01-01 00:00:30.000,G27,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,55.66
2025-01-01 00:00:30.000,G28,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,30.41
2025-01-01 00:00:30.000,G31,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,51.56
2025-01-01 00:01:00.000,G04,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,31.47
2025-01-01 00:01:00.000,G08,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,47.25
2025-01-01 00:01:00.000,G09,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,27.78
2025-01-01 00:01:00.000,G16,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,36.09
2025-01-01 00:01:00.000,G18,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,18.91
2025-01-01 00:01:00.000,G21,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,20.97
2025-01-01 00:01:00.000,G26,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,46.56
2025-01-01 00:01:00.000,G27,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,55.72
2025-01-01 00:01:00.000,G28,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,30.38
2025-01-01 00:01:00.000,G31,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,51.91
2025-01-01 00:01:30.000,G04,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,30.97
2025-01-01 00:01:30.000,G08,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,46.84
2025-01-01 00:01:30.000,G09,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,27.19
2025-01-01 00:01:30.000,G16,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,35.88
2025-01-01 00:01:30.000,G18,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,19.16
2025-01-01 00:01:30.000,G21,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,20.88
2025-01-01 00:01:30.000,G26,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,46.75
2025-01-01 00:01:30.000,G27,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,55.81
2025-01-01 00:01:30.000,G28,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,30.34
2025-01-01 00:01:30.000,G31,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,51.84
2025-01-01 00:02:00.000,G04,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,31.56
2025-01-01 00:02:00.000,G08,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,46.59
2025-01-01 00:02:00.000,G09,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,28.97
2025-01-01 00:02:00.000,G16,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,35.75
2025-01-01 00:02:00.000,G18,S1W,ABPO00MDG_R_20250010000_01D_30S_MO,19.06
