time_utc,sat,signal_code,station,CN0_dBHz
2025-01-01 00:00:00.000,C02,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,34.56
2025-01-01 00:00:00.000,C05,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,38.19
2025-01-01 00:00:00.000,C06,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,27.59
2025-01-01 00:00:00.000,C07,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,28.59
2025-01-01 00:00:00.000,C09,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,30.19
2025-01-01 00:00:00.000,C10,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,31.16
2025-01-01 00:00:00.000,C16,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,25.19
2025-01-01 00:00:00.000,C20,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,30.91
2025-01-01 00:00:00.000,C23,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,28.94
2025-01-01 00:00:00.000,C27,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,43.19
2025-01-01 00:00:00.000,C28,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,36.84
2025-01-01 00:00:00.000,C30,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,38.81
2025-01-01 00:00:00.000,C32,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,26.19
2025-01-01 00:00:30.000,C02,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,34.16
2025-01-01 00:00:30.000,C05,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,38.28
2025-01-01 00:00:30.000,C06,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,27.16
2025-01-01 00:00:30.000,C07,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,28.84
2025-01-01 00:00:30.000,C09,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,30.00
2025-01-01 00:00:30.000,C10,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,31.00
2025-01-01 00:00:30.000,C16,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,25.25
2025-01-01 00:00:30.000,C20,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,30.00
2025-01-01 00:00:30.000,C23,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,28.53
2025-01-01 00:00:30.000,C27,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,43.12
2025-01-01 00:00:30.000,C28,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,36.62
2025-01-01 00:00:30.000,C30,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,38.94
2025-01-01 00:00:30.000,C32,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,25.47
2025-01-01 00:01:00.000,C02,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,33.94
2025-01-01 00:01:00.000,C05,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,38.09
2025-01-01 00:01:00.000,C06,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,27.22
2025-01-01 00:01:00.000,C07,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,28.44
2025-01-01 00:01:00.000,C09,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,29.84
2025-01-01 00:01:00.000,C10,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,30.88
2025-01-01 00:01:00.000,C16,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,25.03
2025-01-01 00:01:00.000,C20,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,30.25
2025-01-01 00:01:00.000,C23,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,28.88
2025-01-01 00:01:00.000,C27,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,42.91
2025-01-01 00:01:00.000,C28,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,36.25
2025-01-01 00:01:00.000,C30,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,38.66
2025-01-01 00:01:00.000,C32,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,24.69
2025-01-01 00:01:30.000,C02,S6I,ABPO00MDG_R_20250010000_01D_30S_MO,34.31
